Position,Country,Gain_Earn,Players,Favo_Game,Earn_Fgame,Proportion
1,China,28625895981,8537,Dota 2,8376514495,2926
2,United States of America,26568418042,26559,Fortnite,4715319649,1775
3,Korea Republic of Korea,13971204076,5652,League of Legends,3601804383,2578
4,Russian,8017790589,5235,Dota 2,3547203628,4424
5,Brazil Brazil,5859961889,5086,Counter-Strike: Global Offensive,1192864638,2036
6,Denmark,5772253374,2049,Counter-Strike: Global Offensive,2307120476,3997
7,Sweden,5299456148,3169,Dota 2,1699286091,3207
8,France,5260631569,5949,Counter-Strike: Global Offensive,982514403,1868
9,Germany,4711668256,6339,Dota 2,1094514866,2323
10,anada,4628595782,3982,Fortnite,837641437,1810
11,United Kingdom,4304855860,5054,Fortnite,805894686,1872
12,Japan,3520751223,3497,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,544815927,1547
13,Ukraine,3482016877,1529,Dota 2,2173649332,6243
14,Finland,3215784893,2095,Dota 2,1729306975,5378
15,Australia,2930253436,3921,Dota 2,803591241,2742
16,Thailand,2791195503,2120,Arena of Valor,689083934,2469
17,Poland,2730729169,2802,Counter-Strike: Global Offensive,836955220,3065
18,Taiwan Republic of China,2099204811,1631,League of Legends,554000667,2639
19,Philippines,2054966342,1780,Dota 2,1135833856,5527
20,Malaysia,1974175849,1619,Dota 2,1376557227,6973
21,Indonesia,1739661868,2490,Free Fire,393867621,2264
22,Netherlands,1654094719,2051,Fortnite,343630352,2077
23,Viet Nam,1620415896,2419,Arena of Valor,476925947,2943
24,Norway,1288444453,1313,Fortnite,325871404,2529
25,Saudi Arabia,1285361969,987,Rainbow Six Siege,240957705,1875
26,Spain,1265488239,2562,Counter-Strike: Global Offensive,141034476,1114
27,Turkey,1111328525,1580,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,350773931,3156
28,Bulgaria,984022025,411,Dota 2,566942345,5761
29,Argentina,900194335,1372,Fortnite,235544953,2617
30,Jordan,872968437,144,Dota 2,773678698,8863
31,Mexico,860972117,1378,Fortnite,127394048,1480
32,Peru,812684348,662,Dota 2,691856137,8513
33,Israel,773207170,274,Dota 2,556159139,7193
34,Italy,740830524,1540,StarCraft II,80115799,1081
35,Singapore,725020038,1166,Dota 2,269258688,3714
36,Estonia,702303096,334,Dota 2,431338379,6142
37,India,675220876,1511,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,341270992,5054
38,Pakistan,644721046,391,Dota 2,466154859,7230
39,Czech Republic,557900501,1204,Counter-Strike: Global Offensive,126917459,2275
40,Austria,544220561,705,Fortnite,346315340,6364
41,Kazakhstan,543416419,712,Counter-Strike: Global Offensive,329824639,6069
42,Lebanon,535536514,109,Dota 2,466460467,8710
43,Romania,526998377,614,Dota 2,276841696,5253
44,Slovakia,508030134,369,Dota 2,215134075,4235
45,Belgium,491512028,875,Counter-Strike: Global Offensive,97926529,1992
46,Hong Kong,475200875,652,Fortnite,124553474,2621
47,Portugal,436031242,1109,Counter-Strike: Global Offensive,98189468,2252
48,Belarus,414627389,382,Dota 2,178525469,4306
49,Mongolia,376715026,289,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,252984117,6716
50,North Macedonia,369669694,89,Dota 2,316533885,8563
51,Serbia,362940137,402,Fortnite,165348956,4556
52,Switzerland,303335331,683,Fortnite,176413689,5816
53,Chile,297172250,839,VALORANT,64225821,2161
54,Latvia,285820505,331,Counter-Strike: Global Offensive,141428690,4948
55,Slovenia,284291491,163,Fortnite,178691359,6285
56,Bosnia and Herzegovina,273089800,80,Counter-Strike: Global Offensive,207822231,7610
57,New Zealand,246433086,425,Fortnite,70845480,2875
58,Greece,241046044,527,Dota 2,115395650,4787
59,Hungary,205882120,715,Counter-Strike: Global Offensive,51096249,2482
60,Croatia,202591776,276,League of Legends,70517103,3481
61,Egypt,193330517,288,Clash Royale,66649966,3447
62,South Africa,191846227,783,Counter-Strike: Global Offensive,93729924,4886
63,Macao,181258011,37,Dota 2,133659381,7374
64,Lithuania,168865805,387,Counter-Strike: Global Offensive,70628422,4183
65,Nepal,165692123,164,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,161976912,9776
66,Iraq,143537650,147,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,114227403,7958
67,Kyrgyzstan,139799044,102,Dota 2,119250518,8530
68,Colombia,130367817,387,Free Fire,20237407,1552
69,Ireland,128582311,326,Fortnite,25408598,1976
70,Morocco,114561510,188,Rocket League,33749567,2946
71,Republic of Moldova,109355498,54,Dota 2,70920221,6485
72,Dominican Republic,106377263,124,Street Fighter V,26883520,2527
73,Myanmar,105288838,248,Mobile Legends: Bang Bang,41689060,3959
74,Puerto Rico,100548482,135,NBA 2K20,25000000,2486
75,Bolivia,89685557,66,Dota 2,81188385,9053
76,United Arab Emirates,89105250,235,Street Fighter 6,22975000,2578
77,Uruguay,80217058,147,Counter-Strike: Global Offensive,14612585,1822
78,Armenia,73264216,47,chess24,24431930,3335
79,Cambodia,69748580,228,Mobile Legends: Bang Bang,34277265,4914
80,Uzbekistan,69306423,103,Counter-Strike: Global Offensive,33863232,4886
81,Iran Islamic Republic of,68870205,157,Chesscom,21837602,3171
82,Kuwait,67061276,178,Rainbow Six Siege,18606593,2775
83,Algeria,65660045,114,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,23067368,3513
84,Azerbaijan,63347323,110,chess24,29526150,4661
85,Georgia,62180491,116,PLAYERUNKNOWN’S BATTLEGROUNDS,34469310,5543
86,Cuba,57663039,49,Fortnite,20471667,3550
87,Syrian Arab Republic,53325149,61,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,27565328,5169
88,Republic of Kosovo,45955384,63,Counter-Strike: Global Offensive,37103368,8074
89,Bahrain,45404070,40,Fortnite,28909000,6367
90,Montenegro,42910408,18,Counter-Strike: Global Offensive,38643986,9006
91,Venezuela,41168715,181,League of Legends,6043238,1468
92,Tunisia,35950208,92,League of Legends,16517437,4595
93,Afghanistan,33206829,9,Call of Duty: Black Ops 4,7387060,2225
94,Laos,31125930,108,Dota 2,26323289,8457
95,Ecuador,30841161,77,Free Fire,15058334,4883
96,Iceland,26625695,170,Overwatch,10228460,3842
97,Bangladesh,24539004,107,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,12680836,5168
98,Guatemala,22575635,49,SMITE,7870000,3486
99,Malta,18090464,299,FIFA 18,3877870,2144
100,Palestine,18041680,27,League of Legends,9363192,5190
101,Costa Rica,16834845,81,League of Legends,5104021,3032
102,Albania,13183449,59,PLAYERUNKNOWN’S BATTLEGROUNDS,4410594,3346
103,Nicaragua,12828818,12,Dota 2,4559678,3554
104,Gibraltar,12732951,1,PLAYERUNKNOWN’S BATTLEGROUNDS,12620451,9912
105,Panama,11205953,59,Fortnite,6339000,5657
106,Brunei Darussalam,10909430,215,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,5911895,5419
107,Luxembourg,10771993,43,Fortnite,4033320,3744
108,Senegal,10009184,9,FIFA 21,4000000,3996
109,Honduras,9187645,27,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,6606454,7191
110,Qatar,8937072,51,Fortnite,1737500,1944
111,Oman,8815965,21,Fortnite,7473000,8477
112,Paraguay,6620724,43,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,2111166,3189
113,Libyan Arab Jamahiriya,5534132,8,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,4936671,8920
114,Yemen,4039612,9,Fortnite,1337500,3311
115,Sri Lanka,3252634,29,Vainglory,1101097,3385
116,Cameroon,2763645,1,Street Fighter 6,591080,2139
117,Ethiopia,2366995,1,Overwatch,2366995,10000
118,Reunion,2053023,14,Rocket League,2053023,10000
119,Nigeria,1708671,6,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,1708671,10000
120,French Polynesia,1633033,3,League of Legends,1458470,8931
121,Greenland,1532500,3,Fortnite,1532500,10000
122,Trinidad and Tobago,1405949,8,Fortnite,377500,2685
123,El Salvador,1319885,15,League of Legends,407813,3090
124,Monaco,1276454,5,Chesscom,781250,6120
125,Jamaica,1129120,15,Overwatch 2,370000,3277
126,Faroe Islands,956061,26,Counter-Strike: Global Offensive,929606,9723
127,Guadeloupe,888864,1,FIFA 18,833000,9372
128,Mauritius,869000,22,Counter-Strike: Global Offensive,518571,5967
129,Côte D'Ivoire,753690,6,Tekken 7,720000,9553
130,Guyana,745000,2,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,675000,9060
131,Fiji,580167,1,Fortnite,580167,10000
132,Netherlands Antilles,570000,1,Overwatch 2,570000,10000
