Position,Country,Gain_Earn,

1.,United States United States,25564511.11,5603
2.,China China,24316314.86,1595
3.,Korea Republic of Korea Republic of,10821201.69,1110
4.,Brazil Brazil,6020673.86,1144
5.,France France,5619276.22,1147
6.,United Kingdom United Kingdom,5026265.80,928
7.,Russian Federation Russian Federation,4872723.04,924
8.,Germany Germany,4479062.76,1270
9.,Denmark Denmark,4400173.68,483
10.,Canada Canada,4036808.92,845
11.,Thailand Thailand,3270764.54,766
12.,Japan Japan,3216040.30,763
13.,Sweden Sweden,2881150.74,548
14.,Indonesia Indonesia,2684022.17,732
15.,Australia Australia,2564669.95,823
16.,Poland Poland,1976946.09,595
17.,Taiwan Republic of China Taiwan Republic of China,1906947.96,299
18.,Finland Finland,1881240.40,432
19.,Viet Nam Viet Nam,1596052.73,674
20.,Spain Spain,1573148.08,600
21.,Netherlands Netherlands,1427676.71,439
22.,Norway Norway,1409053.35,251
23.,Ukraine Ukraine,1313451.03,245
24.,Malaysia Malaysia,1039791.63,294
25.,Philippines Philippines,963981.65,310
26.,Mexico Mexico,961371.06,300
27.,Saudi Arabia Saudi Arabia,922741.22,196
28.,Turkey Turkey,891400.47,262
29.,Argentina Argentina,865842.14,276
30.,Italy Italy,841849.53,287
31.,Singapore Singapore,688989.55,205
32.,Czech Republic Czech Republic,646189.67,341
33.,Bulgaria Bulgaria,634018.56,80
34.,India India,585250.08,302
35.,Kazakhstan Kazakhstan,529054.86,69
36.,Portugal Portugal,524057.23,224
37.,Belgium Belgium,488629.74,199
38.,Slovenia Slovenia,473615.74,29
39.,Estonia Estonia,460821.33,78
40.,Austria Austria,449104.33,155
41.,Jordan Jordan,438885.71,32
42.,Hong Kong Hong Kong,353232.54,89
43.,Peru Peru,334221.76,129
44.,Puerto Rico Puerto Rico,326695.07,34
45.,Belarus Belarus,326401.53,104
46.,Israel Israel,319954.35,59
47.,Serbia Serbia,307280.50,112
48.,Switzerland Switzerland,305832.59,168
49.,Chile Chile,286466.43,150
50.,New Zealand New Zealand,277958.39,79
51.,Romania Romania,268225.51,112
52.,Latvia Latvia,261578.28,73
53.,Hungary Hungary,229634.88,154
54.,Slovakia Slovakia,227374.02,94
55.,Croatia Croatia,199075.38,63
56.,Greece Greece,182975.71,97
57.,Nepal Nepal,173927.38,59
58.,Bosnia and Herzegovina Bosnia and Herzegovina,168711.48,25
59.,Mongolia Mongolia,165456.49,72
60.,Ireland Ireland,159617.50,67
61.,Pakistan Pakistan,149710.72,135
62.,Lithuania Lithuania,147146.92,120
63.,Lebanon Lebanon,146134.97,24
64.,Uzbekistan Uzbekistan,144081.66,19
65.,Iran Islamic Republic of Iran Islamic Republic of,140144.94,15
66.,South Africa South Africa,126482.49,83
67.,North Macedonia North Macedonia,117182.21,24
68.,Cuba Cuba,115494.32,15
69.,Armenia Armenia,112713.43,20
70.,Morocco Morocco,110019.56,44
71.,Colombia Colombia,101684.62,67
72.,Moldova Republic of Moldova Republic of,98127.98,12
73.,Kyrgyzstan Kyrgyzstan,94000.68,8
74.,Myanmar Myanmar,88494.94,74
75.,Bangladesh Bangladesh,73719.16,29
76.,Macao Macao,71674.42,9
77.,Bahrain Bahrain,66646.00,10
78.,Egypt Egypt,52502.26,36
79.,Georgia Georgia,48550.27,22
80.,Azerbaijan Azerbaijan,45031.05,34
81.,Algeria Algeria,44809.21,26
82.,Kosovo Republic of Kosovo Republic of,42060.53,18
83.,Montenegro Montenegro,40986.60,5
84.,Syrian Arab Republic Syrian Arab Republic,40313.10,24
85.,Honduras Honduras,38307.00,2
86.,Iraq Iraq,37529.24,22
87.,Tunisia Tunisia,36350.60,29
88.,United Arab Emirates United Arab Emirates,36326.55,34
89.,Afghanistan Afghanistan,36000.00,1
90.,Dominican Republic Dominican Republic,35440.68,29
91.,Bolivia Bolivia,31853.07,7
92.,Albania Albania,30837.01,15
93.,Uruguay Uruguay,30679.84,17
94.,Venezuela Venezuela,30333.39,13
95.,Costa Rica Costa Rica,29086.57,8
96.,Iceland Iceland,27260.00,29
97.,Kuwait Kuwait,25379.77,14
98.,Oman Oman,23130.00,3
99.,Brunei Darussalam Brunei Darussalam,22131.39,10
100.,Lao People's Democratic Republic Lao People's Democratic Republic,21935.28,8
101.,Guatemala Guatemala,19692.50,9
102.,Ecuador Ecuador,17473.71,11
103.,Nicaragua Nicaragua,15240.86,5
104.,Luxembourg Luxembourg,12552.42,8
105.,Qatar Qatar,8608.33,8
106.,Malta Malta,7898.62,21
107.,Cambodia Cambodia,4500.00,10
108.,Paraguay Paraguay,3971.15,4
109.,Yemen Yemen,3720.00,2
110.,Panama Panama,3528.00,5
111.,Sri Lanka Sri Lanka,3500.00,4
112.,Palestine State of Palestine State of,2093.00,4
113.,Trinidad and Tobago Trinidad and Tobago,1698.26,1
114.,American Samoa American Samoa,1400.00,1
115.,Cyprus Cyprus,1315.84,5
116.,Senegal Senegal,1248.00,1
117.,Gibraltar Gibraltar,900.00,1
118.,New Caledonia New Caledonia,300.00,1
119.,Faroe Islands Faroe Islands,200.00,1
120.,Jersey Jersey,120.00,1
121.,Guernsey Guernsey,100.00,1
122.,Jamaica Jamaica,75.75,1
123.,Isle of Man Isle of Man,60.00,1
124.,Saint Barthélemy Saint Barthélemy,7.63,1
125.,Monaco Monaco,1.17,1
