Position,Country,Gain_Earn,Players
1.,China China,37810716.40,2046
2.,United States United States,28935450.65,3621
3.,Russian Federation Russian Federation,14579605.69,912
4.,Korea Republic of Korea Republic of,11847671.06,1140
5.,Brazil Brazil,10851027.41,1360
6.,France France,7118070.95,1088
7.,Thailand Thailand,6341623.97,550
8.,Denmark Denmark,5906130.62,330
9.,United Kingdom United Kingdom,5709826.14,851
10.,Japan Japan,5305223.93,945
11.,Ukraine Ukraine,4811476.03,335
12.,Sweden Sweden,4774342.06,370
13.,Germany Germany,4715461.45,971
14.,Poland Poland,4683456.36,544
15.,Canada Canada,4294581.96,534
16.,Indonesia Indonesia,3917489.67,634
17.,Saudi Arabia Saudi Arabia,3914095.69,379
18.,Australia Australia,3716202.56,946
19.,Philippines Philippines,3488951.70,550
20.,Viet Nam Viet Nam,3134610.25,668
21.,Turkey Turkey,2615115.68,516
22.,Netherlands Netherlands,2512301.14,336
23.,Malaysia Malaysia,2396532.56,358
24.,India India,2124683.86,566
25.,Peru Peru,1889178.63,227
26.,Mongolia Mongolia,1857960.41,160
27.,Taiwan Republic of China Taiwan Republic of China,1620108.45,357
28.,Mexico Mexico,1526909.72,447
29.,Argentina Argentina,1475333.17,471
30.,Spain Spain,1440738.34,385
31.,Israel Israel,1398846.94,55
32.,Italy Italy,1313414.49,316
33.,Norway Norway,1273865.65,186
34.,Kazakhstan Kazakhstan,1112564.86,131
35.,Finland Finland,1110462.36,258
36.,Pakistan Pakistan,997041.56,71
37.,Portugal Portugal,939599.68,233
38.,Nepal Nepal,815668.70,79
39.,Serbia Serbia,810582.60,92
40.,Latvia Latvia,795588.50,42
41.,Czech Republic Czech Republic,786014.30,205
42.,Estonia Estonia,760662.18,83
43.,Bosnia and Herzegovina Bosnia and Herzegovina,752871.96,18
44.,Singapore Singapore,668967.15,207
45.,Egypt Egypt,590932.78,158
46.,Romania Romania,550913.66,117
47.,Slovenia Slovenia,540197.15,57
48.,Slovakia Slovakia,527238.73,50
49.,Chile Chile,516297.44,259
50.,Belarus Belarus,509651.93,86
51.,Belgium Belgium,422204.67,140
52.,Myanmar Myanmar,405042.41,52
53.,Cambodia Cambodia,386083.38,80
54.,Hungary Hungary,373109.02,157
55.,Dominican Republic Dominican Republic,368911.02,36
56.,South Africa South Africa,365022.83,157
57.,Morocco Morocco,362280.87,57
58.,United Arab Emirates United Arab Emirates,359017.82,67
59.,Lebanon Lebanon,357061.58,23
60.,Bulgaria Bulgaria,351204.05,73
61.,Hong Kong Hong Kong,340008.10,89
62.,Colombia Colombia,317902.20,141
63.,Moldova Republic of Moldova Republic of,316558.93,18
64.,Austria Austria,282690.04,79
65.,North Macedonia North Macedonia,271822.17,31
66.,Jordan Jordan,257850.36,44
67.,Iraq Iraq,224747.41,53
68.,Croatia Croatia,216089.89,56
69.,Lithuania Lithuania,212024.95,77
70.,New Zealand New Zealand,211685.91,101
71.,Switzerland Switzerland,195611.30,114
72.,Kyrgyzstan Kyrgyzstan,186568.23,53
73.,Bolivia Bolivia,185762.92,21
74.,Uzbekistan Uzbekistan,180398.92,60
75.,Cuba Cuba,177201.52,18
76.,Kuwait Kuwait,169094.20,79
77.,Bahrain Bahrain,169086.35,24
78.,Montenegro Montenegro,166371.78,7
79.,Iran Islamic Republic of Iran Islamic Republic of,155066.36,19
80.,Kosovo Republic of Kosovo Republic of,145309.93,27
81.,Algeria Algeria,141367.58,29
82.,Ireland Ireland,132275.11,70
83.,Puerto Rico Puerto Rico,131290.03,35
84.,Greece Greece,111860.76,53
85.,Azerbaijan Azerbaijan,107888.94,26
86.,Armenia Armenia,101299.25,12
87.,Macao Macao,97973.25,4
88.,Uruguay Uruguay,97314.46,56
89.,Georgia Georgia,81897.32,48
90.,Syrian Arab Republic Syrian Arab Republic,74307.19,18
91.,Venezuela Venezuela,54056.13,24
92.,Guatemala Guatemala,53012.75,21
93.,Lao People's Democratic Republic Lao People's Democratic Republic,48555.23,31
94.,Afghanistan Afghanistan,43574.51,4
95.,Costa Rica Costa Rica,40723.62,23
96.,Bangladesh Bangladesh,38618.37,34
97.,Panama Panama,34163.32,11
98.,Qatar Qatar,33564.11,14
99.,Senegal Senegal,31842.93,2
